,base,clouds: all,cod,coord: lat,coord: lon,dt,id,main: grnd_level,main: humidity,main: pressure,main: sea_level,main: temp,main: temp_max,main: temp_min,name,rain: 3h,sys: country,sys: id,sys: message,sys: sunrise,sys: sunset,sys: type,visibility,weather: description,weather: icon,weather: id,weather: main,wind: deg,wind: gust,wind: speed
0,stations,12,200,71.98,102.47,1533444220,2022572,1010.23,84,1010.23,1014.75,56.74,56.74,56.74,Khatanga,1.955,RU,7307,0.0028,1533404704,1533486409,1,10000,few clouds,02d,801,Clouds,184.001,12.3,23.89
1,stations,88,200,-19.06,-169.92,1533441600,4036284,1010.23,78,1007.0,1014.75,71.6,71.6,71.6,Alofi,1.955,NU,8341,0.0035,1533491152,1533531933,1,10000,overcast clouds,04n,804,Clouds,230.0,12.3,12.75
2,stations,1,200,39.95,-94.76,1533441180,4407665,1010.23,69,1015.0,1014.75,77.0,77.0,77.0,Kodiak,1.955,US,1664,0.0046,1533468091,1533518872,1,16093,clear sky,01n,800,Clear,170.0,12.3,9.17
3,stations,92,200,71.03,27.85,1533444220,778707,999.2,100,999.2,1017.71,51.52,51.52,51.52,Mehamn,1.505,NO,1664,0.0172,1533425844,1533501812,1,16093,light rain,10d,500,Rain,272.001,12.3,5.99
4,stations,88,200,17.14,-95.05,1533444221,3522013,1017.2,88,1017.2,1028.08,74.65,74.65,74.65,Nuevo Progreso,1.505,MX,1664,0.0051,1533470465,1533516661,1,16093,overcast clouds,04n,804,Clouds,347.001,12.3,2.86
5,stations,0,200,71.97,114.09,1533444221,2017155,1013.39,65,1013.39,1024.64,60.25,60.25,60.25,Saskylakh,1.505,RU,1664,0.0076,1533401924,1533483617,1,16093,clear sky,01d,800,Clear,194.001,12.3,15.84
6,stations,44,200,-17.73,-39.27,1533444222,3466980,1028.96,100,1028.96,1029.06,75.64,75.64,75.64,Caravelas,1.505,BR,1664,0.0042,1533459701,1533500676,1,16093,scattered clouds,03n,802,Clouds,19.0009,12.3,17.4
7,stations,88,200,77.48,-69.36,1533444222,3831208,991.75,93,991.75,1023.38,37.66,37.66,37.66,Qaanaaq,1.505,GL,1664,0.0093,0,0,1,16093,overcast clouds,04d,804,Clouds,57.5009,12.3,3.31
8,stations,90,200,68.22,-135.01,1533441600,5882953,991.75,77,1006.0,1023.38,59.0,59.0,59.0,Aklavik,1.505,CA,3535,0.004,1533468831,1533537252,1,24140,overcast clouds,04n,804,Clouds,190.0,12.3,5.82
9,stations,36,200,-34.42,19.24,1533444223,3366880,991.58,100,991.58,1032.38,40.99,40.99,40.99,Hermanus,1.505,ZA,3535,0.0051,1533447173,1533485133,1,24140,scattered clouds,03n,802,Clouds,354.001,12.3,3.65
10,stations,75,200,-21.2,-175.2,1533441600,4032243,991.58,68,1009.0,1032.38,69.8,69.8,69.8,Vaini,1.505,TO,8323,0.0034,1533492592,1533533029,1,10000,broken clouds,04n,803,Clouds,220.0,12.3,16.11
11,stations,75,200,63.84,-22.43,1533441600,3416888,991.58,100,1011.0,1032.38,49.15,50.0,48.2,Grindavik,1.505,IS,4832,0.0048,1533444739,1533507405,1,10000,broken clouds,04n,803,Clouds,130.0,12.3,8.05
12,stations,90,200,22.08,-159.32,1533441360,5848280,991.58,83,1016.0,1032.38,81.72,84.2,78.8,Kapaa,1.505,US,833,0.0033,1533485479,1533532491,1,11265,light rain,10n,500,Rain,40.0,12.3,19.46
13,stations,40,200,-54.81,-68.31,1533441600,3833367,991.58,80,997.0,1032.38,33.8,33.8,33.8,Ushuaia,1.505,AR,4754,0.0042,1533471258,1533503087,1,10000,shower rain,09n,521,Rain,230.0,12.3,31.09
14,stations,0,200,-31.59,28.78,1533441600,946058,991.58,81,1018.0,1032.38,42.8,42.8,42.8,Umtata,1.505,ZA,6618,0.0035,1533444594,1533483131,1,10000,clear sky,01n,800,Clear,180.0,12.3,3.36
15,stations,88,200,-33.59,26.89,1533444224,964432,1021.98,100,1021.98,1031.04,58.0,58.0,58.0,Port Alfred,4.45,ZA,6618,0.0042,1533445251,1533483382,1,10000,moderate rain,10n,501,Rain,250.501,12.3,12.82
16,stations,92,200,-9.91,-63.03,1533444225,3665199,1000.58,79,1000.58,1025.29,74.2,74.2,74.2,Ariquemes,0.165,BR,6618,0.0073,1533464803,1533506973,1,10000,light rain,10n,500,Rain,201.001,12.3,1.74
17,stations,8,200,-23.12,-134.97,1533444225,4030556,1030.33,98,1030.33,1030.43,74.83,74.83,74.83,Rikitea,0.165,PF,6618,0.0036,1533483101,1533523212,1,10000,clear sky,02n,800,Clear,24.5009,12.3,14.05
18,stations,20,200,-33.92,25.57,1533441600,964420,1030.33,93,1017.0,1030.43,53.6,53.6,53.6,Port Elizabeth,0.165,ZA,6596,0.004,1533445602,1533483665,1,10000,few clouds,02n,801,Clouds,250.0,12.3,5.82
19,stations,76,200,-46.43,-67.52,1533444226,3863379,996.53,93,996.53,1018.24,43.24,43.24,43.24,Mar del Plata,0.355,AR,6596,0.0035,1533469502,1533504455,1,10000,light rain,10n,500,Rain,88.5009,12.3,9.01
20,stations,32,200,3.07,172.79,1533444179,2110227,1021.25,100,1021.25,1021.23,82.48,82.48,82.48,Butaritari,2.675,KI,6596,0.0026,1533407258,1533451324,1,10000,light rain,10d,500,Rain,92.5009,12.3,6.44
21,stations,92,200,62.57,11.38,1533442800,3141332,1021.25,100,1010.0,1021.23,48.2,48.2,48.2,Roros,2.675,NO,5323,0.0039,1533437229,1533498702,1,10000,moderate rain,10d,501,Rain,310.0,12.3,3.36
22,stations,0,200,-22.67,167.48,1533443686,2137773,1031.47,100,1031.47,1031.65,68.53,68.53,68.53,Vao,2.675,NC,5323,0.0726,1533410505,1533450642,1,10000,clear sky,01d,800,Clear,167.001,12.3,13.71
23,stations,32,200,5.35,48.53,1533444227,57000,1020.77,77,1020.77,1030.19,77.53,77.53,77.53,Hobyo,2.675,SO,5323,0.0038,1533436912,1533481310,1,10000,scattered clouds,03d,802,Clouds,236.501,12.3,14.38
24,stations,88,200,42.02,121.65,1533444228,2037346,1001.47,71,1001.47,1022.53,78.16,78.16,78.16,Fuxin,0.1,CN,5323,0.0038,1533415831,1533467259,1,10000,light rain,10d,500,Rain,13.0009,12.3,8.34
25,stations,0,200,40.34,-1.11,1533441600,3108126,1001.47,53,1017.0,1022.53,75.2,75.2,75.2,Teruel,0.1,ES,5473,0.0137,1533445548,1533496466,1,10000,clear sky,01n,800,Clear,190.0,12.3,4.7
26,stations,0,200,45.07,37.77,1533441600,477039,1001.47,88,1012.0,1022.53,73.4,73.4,73.4,Pavlovskiy,0.1,RU,7294,0.0035,1533435513,1533487831,1,10000,clear sky,01d,800,Clear,6.50092,12.3,2.53
27,stations,92,200,-33.86,121.89,1533444229,2071860,1017.85,86,1017.85,1029.91,50.62,50.62,50.62,Esperance,0.715,AU,7294,0.0029,1533422493,1533460543,1,10000,light rain,10d,500,Rain,231.501,12.3,17.29
28,stations,20,200,-20.52,57.52,1533441600,933995,1017.85,69,1025.0,1029.91,73.4,73.4,73.4,Souillac,0.715,MU,6729,0.0088,1533436705,1533477218,1,10000,few clouds,02d,801,Clouds,160.0,12.3,9.17
29,stations,90,200,60.79,-161.76,1533441180,5880568,1017.85,77,1013.0,1029.91,60.8,60.8,60.8,Bethel,0.715,US,28,0.0061,1533479611,1533539437,1,16093,overcast clouds,04n,804,Clouds,180.0,12.3,14.99
30,stations,75,200,58.3,-134.42,1533441360,5554072,1017.85,87,1017.0,1029.91,63.88,66.2,60.8,Juneau,0.715,US,86,0.0036,1533473917,1533532026,1,16093,broken clouds,04n,803,Clouds,240.0,12.3,6.93
31,stations,80,200,-15.94,-5.72,1533444107,3370903,1032.93,100,1032.93,1032.95,67.18,67.18,67.18,Jamestown,0.715,SH,86,0.0028,1533451511,1533492762,1,16093,broken clouds,04n,803,Clouds,131.001,12.3,8.12
32,stations,0,200,-9.8,-139.03,1533444231,4020109,1025.06,100,1025.06,1025.17,79.51,79.51,79.51,Atuona,0.715,PF,86,0.0037,1533483031,1533525222,1,16093,clear sky,01n,800,Clear,92.5009,12.3,18.07
33,stations,20,200,-53.16,-70.91,1533441600,3874787,1025.06,69,1001.0,1025.17,33.8,33.8,33.8,Punta Arenas,0.715,CL,4642,0.0081,1533471520,1533504071,1,10000,few clouds,02n,801,Clouds,270.0,12.3,14.99
34,stations,44,200,78.22,15.64,1533444043,2729907,992.96,99,992.96,1027.76,39.82,39.82,39.82,Longyearbyen,0.715,SJ,4642,0.004,0,0,1,10000,scattered clouds,03d,802,Clouds,71.5009,12.3,2.53
35,stations,76,200,-34.0,24.73,1533444231,986717,1021.9,100,1021.9,1031.61,55.03,55.03,55.03,Kruisfontein,0.715,ZA,4642,0.0043,1533445811,1533483859,1,10000,broken clouds,04n,803,Clouds,290.501,12.3,5.66
36,stations,0,200,48.94,-125.55,1533444232,6171633,979.83,90,979.83,1029.95,57.73,57.73,57.73,Ucluelet,0.715,CA,4642,0.0035,1533474071,1533527651,1,10000,clear sky,01n,800,Clear,272.001,12.3,1.86
37,stations,0,200,55.61,37.97,1533441600,515873,979.83,72,1009.0,1029.95,66.63,68.0,66.2,Oktyabrskiy,0.715,RU,7322,0.0053,1533433280,1533489936,1,10000,clear sky,01d,800,Clear,280.0,12.3,6.71
38,stations,20,200,42.65,-73.75,1533442440,5106834,979.83,88,1020.0,1029.95,64.83,68.0,62.6,Albany,0.715,US,2088,0.0041,1533462669,1533514205,1,16093,mist,50n,701,Mist,266.501,12.3,2.19
39,stations,75,200,50.7,-127.42,1533441600,6111862,979.83,72,1015.0,1029.95,62.6,62.6,62.6,Port Hardy,0.715,CA,3322,0.004,1533474175,1533528440,1,32186,broken clouds,04n,803,Clouds,330.0,12.3,6.93
40,stations,75,200,-33.93,18.42,1533441600,3369157,979.83,93,1018.0,1029.95,51.8,51.8,51.8,Cape Town,0.715,ZA,6529,0.0042,1533447318,1533485381,1,10000,broken clouds,04n,803,Clouds,30.0,12.3,6.93
41,stations,92,200,-35.02,117.88,1533444234,2077963,1022.23,72,1022.23,1035.3,52.87,52.87,52.87,Albany,0.715,AU,6529,0.0038,1533423579,1533461383,1,10000,overcast clouds,04d,804,Clouds,208.001,12.3,17.85
