Index,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Temperature(F),Wind Speed(MPH)
0,Khatanga,RU,71.98,102.47,1533444220,12,84,56.74,23.89
1,Alofi,NU,-19.06,-169.92,1533441600,88,78,71.6,12.75
2,Kodiak,US,39.95,-94.76,1533441180,1,69,77.0,9.17
3,Mehamn,NO,71.03,27.85,1533444220,92,100,51.52,5.99
4,Nuevo Progreso,MX,17.14,-95.05,1533444221,88,88,74.65,2.86
5,Saskylakh,RU,71.97,114.09,1533444221,0,65,60.25,15.84
6,Caravelas,BR,-17.73,-39.27,1533444222,44,100,75.64,17.4
7,Qaanaaq,GL,77.48,-69.36,1533444222,88,93,37.66,3.31
8,Aklavik,CA,68.22,-135.01,1533441600,90,77,59.0,5.82
9,Hermanus,ZA,-34.42,19.24,1533444223,36,100,40.99,3.65
10,Vaini,TO,-21.2,-175.2,1533441600,75,68,69.8,16.11
11,Grindavik,IS,63.84,-22.43,1533441600,75,100,49.15,8.05
12,Kapaa,US,22.08,-159.32,1533441360,90,83,81.72,19.46
13,Ushuaia,AR,-54.81,-68.31,1533441600,40,80,33.8,31.09
14,Umtata,ZA,-31.59,28.78,1533441600,0,81,42.8,3.36
15,Port Alfred,ZA,-33.59,26.89,1533444224,88,100,58.0,12.82
16,Ariquemes,BR,-9.91,-63.03,1533444225,92,79,74.2,1.74
17,Rikitea,PF,-23.12,-134.97,1533444225,8,98,74.83,14.05
18,Port Elizabeth,ZA,-33.92,25.57,1533441600,20,93,53.6,5.82
19,Mar del Plata,AR,-46.43,-67.52,1533444226,76,93,43.24,9.01
20,Butaritari,KI,3.07,172.79,1533444179,32,100,82.48,6.44
21,Roros,NO,62.57,11.38,1533442800,92,100,48.2,3.36
22,Vao,NC,-22.67,167.48,1533443686,0,100,68.53,13.71
23,Hobyo,SO,5.35,48.53,1533444227,32,77,77.53,14.38
24,Fuxin,CN,42.02,121.65,1533444228,88,71,78.16,8.34
25,Teruel,ES,40.34,-1.11,1533441600,0,53,75.2,4.7
26,Pavlovskiy,RU,45.07,37.77,1533441600,0,88,73.4,2.53
27,Esperance,AU,-33.86,121.89,1533444229,92,86,50.62,17.29
28,Souillac,MU,-20.52,57.52,1533441600,20,69,73.4,9.17
29,Bethel,US,60.79,-161.76,1533441180,90,77,60.8,14.99
30,Juneau,US,58.3,-134.42,1533441360,75,87,63.88,6.93
31,Jamestown,SH,-15.94,-5.72,1533444107,80,100,67.18,8.12
32,Atuona,PF,-9.8,-139.03,1533444231,0,100,79.51,18.07
33,Punta Arenas,CL,-53.16,-70.91,1533441600,20,69,33.8,14.99
34,Longyearbyen,SJ,78.22,15.64,1533444043,44,99,39.82,2.53
35,Kruisfontein,ZA,-34.0,24.73,1533444231,76,100,55.03,5.66
36,Ucluelet,CA,48.94,-125.55,1533444232,0,90,57.73,1.86
37,Oktyabrskiy,RU,55.61,37.97,1533441600,0,72,66.63,6.71
38,Albany,US,42.65,-73.75,1533442440,20,88,64.83,2.19
39,Port Hardy,CA,50.7,-127.42,1533441600,75,72,62.6,6.93
40,Cape Town,ZA,-33.93,18.42,1533441600,75,93,51.8,6.93
41,Albany,AU,-35.02,117.88,1533444234,92,72,52.87,17.85
42,Palora,EC,-1.7,-77.97,1533444234,56,98,59.35,2.42
43,Tuktoyaktuk,CA,69.44,-133.03,1533441600,90,72,59.0,8.05
44,Castro,CL,-42.48,-73.76,1533444235,92,97,50.8,7.45
45,Hilo,US,19.71,-155.08,1533442200,90,88,69.91,5.82
46,Camacha,PT,33.08,-16.33,1533441600,75,83,70.57,17.22
47,Tasiilaq,GL,65.61,-37.64,1533444236,8,100,42.79,2.08
48,Busselton,AU,-33.64,115.35,1533444236,68,100,59.17,19.75
49,Pontianak,ID,-0.02,109.34,1533441600,20,58,86.0,9.17
50,Puerto Ayora,EC,-0.74,-90.35,1533444237,32,100,69.25,12.59
51,Bluff,NZ,-46.6,168.33,1533444237,68,100,47.83,1.74
52,Inhambane,MZ,-23.87,35.38,1533441600,20,94,68.0,8.05
53,Arraial do Cabo,BR,-22.97,-42.02,1533444237,36,100,67.0,3.2
54,Upernavik,GL,72.79,-56.15,1533444238,48,92,40.36,8.34
55,Vanavara,RU,60.35,102.28,1533443671,0,63,67.36,8.79
56,Ardrishaig,GB,56.02,-5.45,1533442800,90,93,55.4,9.17
57,Qixia,CN,37.31,120.83,1533444239,68,58,90.4,9.01
58,Manggar,ID,-2.88,108.27,1533444239,20,66,87.34,13.04
59,Lebu,CL,-37.62,-73.65,1533444239,100,97,53.5,19.08
60,Qaqortoq,GL,60.72,-46.03,1533441000,92,87,44.6,4.7
61,Chuy,UY,-33.69,-53.46,1533444240,92,98,51.52,15.73
62,Hithadhoo,MV,-0.6,73.08,1533444241,64,100,83.92,7.67
63,Palmer,US,61.6,-149.11,1533441360,90,64,69.44,2.42
64,Mackay,AU,-21.15,149.2,1533441600,0,69,75.2,10.29
65,Sabya,SA,17.15,42.62,1533441600,0,66,91.4,9.17
66,Shitanjing,CN,39.23,106.34,1533444242,48,66,79.51,2.64
67,Shimoda,JP,34.7,138.93,1533441600,20,74,87.8,19.46
68,Anadyr,RU,64.73,177.51,1533441600,90,93,48.2,13.42
69,Kahului,US,20.89,-156.47,1533441360,40,83,77.54,21.92
70,Taiyuan,CN,37.86,112.56,1533441600,0,58,84.2,13.42
71,East London,ZA,-33.02,27.91,1533444243,88,100,60.88,24.34
